Training_ID,Integration_ID,Training_Name,Training_Type,Trainer_Name,Organizer,Date,Duration_Hours,Mode,Certification_Awarded,Attendance_Count,Feedback_Score,Status,Created_DT,Updated_DT
TRN00000,TRN00000_0,Decentralized client-driven function,Soft Skills,Louis Ali Jr.,"Tucker, Pitts and Ramos",2025-08-07,5,In-Person,1,49,4.27,Ongoing,2025-08-07,2025-09-29
TRN00001,TRN00001_1,Open-architected attitude-oriented Graphic Interface,Soft Skills,Guy Torres,Reynolds-Patterson,2024-07-04,4,In-Person,1,14,1.31,Ongoing,2024-07-04,2024-10-02
TRN00002,TRN00002_2,Quality-focused leadingedge functionalities,Compliance,Deborah Griffith,Smith and Sons,2025-01-12,5,In-Person,1,64,1.52,Scheduled,2025-01-12,2025-07-22
TRN00003,TRN00003_3,Exclusive systemic paradigm,Soft Skills,David Henry,"Gibson, Allen and Davis",2025-08-01,3,In-Person,0,87,4.06,Scheduled,2025-08-01,2025-11-08
TRN00004,TRN00004_4,Synchronized multi-state framework,Soft Skills,Ashley Russell,"Anderson, Gonzalez and Maxwell",2025-09-01,1,Online,1,54,3.61,Completed,2025-09-01,2025-10-05
TRN00005,TRN00005_5,User-centric zero administration pricing structure,Technical,Kelsey Hill,"Maldonado, Santos and Ayers",2024-06-25,2,Hybrid,0,56,2.01,Ongoing,2024-06-25,2024-10-13
TRN00006,TRN00006_6,Compatible explicit groupware,Compliance,Victoria Smith,"Kelly, Brown and Boyd",2023-06-17,8,In-Person,1,17,1.69,Ongoing,2023-06-17,2025-01-28
TRN00007,TRN00007_7,Monitored bi-directional success,Technical,Tracy Jones,"Taylor, Rivera and Stone",2022-12-08,8,Hybrid,0,44,1.48,Ongoing,2022-12-08,2024-09-12
TRN00008,TRN00008_8,Open-architected 24/7 Internet solution,Technical,Samuel Madden,Hansen Inc,2022-12-04,7,Online,1,47,1.35,Ongoing,2022-12-04,2025-03-05
TRN00009,TRN00009_9,Switchable content-based throughput,Compliance,Robert Brown,"Hardy, Mejia and Hamilton",2024-12-18,2,In-Person,1,68,3.42,Scheduled,2024-12-18,2025-09-02
TRN00010,TRN00010_10,Synergistic secondary knowledge user,Compliance,Evan Mckay,Castillo Inc,2025-01-25,4,Hybrid,0,67,2.25,Scheduled,2025-01-25,2025-05-14
TRN00011,TRN00011_11,Optimized next generation intranet,Soft Skills,Dennis Estes,Howard-Romero,2025-01-26,5,Online,0,51,4.59,Completed,2025-01-26,2025-07-26
TRN00012,TRN00012_12,Versatile 5thgeneration customer loyalty,Soft Skills,James Brown,"Anderson, Becker and Garza",2024-04-03,6,In-Person,1,24,1.85,Ongoing,2024-04-03,2025-05-29
TRN00013,TRN00013_13,Grass-roots client-server adapter,Soft Skills,Crystal Riley,"Evans, Arnold and Sherman",2022-12-27,5,In-Person,1,65,2.54,Scheduled,2022-12-27,2024-12-01
